Code,Name,결산월,상장일,60개월베타,60개월로그베타,시가총액,시가총액,자본총계,자산총계,자산총계,우선주자본금,"P/E(Adj., FY End)","P/B(Adj., FY End)","P/S(Adj., FY End)",EV/EBITDA,매출액,매출총이익,영업이익,당기순이익,ROA,ROA,ROE,ROIC,영업활동으로인한현금흐름,영업활동으로인한현금흐름,비유동부채,비유동부채,자산총계,자산총계,유동비율,유동비율,매출총이익률,매출총이익률,총자산회전율,총자산회전율,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가
A000010,신한은행,12,19560303,0.700418,0.728637,25125.89,24446.81,22181.18,38281261753,43430727000,0,-2.51,1.08,0.4,-14.9,4409345000,2131251000,-732564000,-6980.43,-4.67,-1.71,-59.33,,-2497.92,10125.05,,,382812.62,434307.27,,,-3.69,-2.58,0.13088,0.10792,3600,3330,3295,3530,2845,2680,1670,2685,2545,1900,2230,2685,2815
A000020,동화약품,12,19760324,1.608857,1.284822,749.68,520.66,1263.03,268505164,231378084,,-10.21,0.66,0.56,103.33,138230037,53058078,1458265,-75.83,7.98,-3.03,-6.19,-0.82,123.03,28.34,54107951,52615448,2685.05,2313.78,204.29,312.6,43.93,38.38,0.51978,0.55305,1866,1516,1430,1613,1459,1442,1236,1603,1661,1410,1426,1926,2230
A000030,우리은행,12,20141119,0.586223,0.628401,33580.89,24923.32,27846.33,74121041000,64510594000,0,-1.47,1.21,0.42,-6,6922668000,2681762000,-2075293000,-19872.28,-2.9,-2.87,-59.95,,-11287.86,2337.45,,,741210.41,645105.94,,,-1.83,-15.73,0.07336,0.09987,2850,2250,2005,1635,1360,1150,865,865,865,865,865,865,865
A000040,KR모터스,12,19760525,0.733582,0.876031,52.31,55.01,-106.97,238242434,191794487,,-0.1,-0.47,0.05,-6.03,110451711,14755030,-6979166,-498.8,-10.37,-23.2,-504.24,-8.15,-12.7,9.04,175989368,128488214,2382.42,1917.94,278.83,75.07,10.82,13.36,0.33028,0.51368,7642,8316,11688,8541,6593,6818,6219,6968,7792,7268,8391,9141,9440
A000050,경방,12,19560303,0.604472,0.663303,398.59,363.51,652.6,232057651,221040807,,4.33,0.61,0.19,3.78,215739234,40031529,18605610,92.41,1.85,4.08,15.07,7.82,143.64,326.01,53936047,24306110,2320.58,2210.41,73.46,66.75,20.24,18.56,0.9061,0.95228,1644,1586,1947,1665,1727,1802,1781,1882,1889,1601,1719,1817,1774
A000060,메리츠화재,12,19560702,0.991276,1.004153,686.4,491.63,1225.92,1506570548,1571275094,,2.16,0.5,0.04,-6.31,1920153938,,37373314,313.02,1.34,2.03,26.07,,1419.21,513.36,,,15065.71,15712.75,,,0,0,1.16334,1.24772,443,433,406,370,294,255,240,348,316,271,313,558,536
A000070,삼양홀딩스,12,19681227,0.919421,0.890726,1322.43,1322.43,4395.46,1337842424,1165872225,34.76,16.53,0.58,0.22,4.03,1206235234,196303447,58183072,159.5,0.34,1.27,3.58,5.33,1029.56,658.66,341435155,241288291,13378.42,11658.72,73.39,62.7,21.23,16.27,1.20274,0.96356,12529,11395,10855,10963,11233,8749,8479,10034,11557,11665,11935,15553,15486
A000080,하이트진로,12,20091019,0.833812,0.858536,510.67,422.31,1497.51,2020401650,1949472285,86.93,-0.02,0,0,11.82,513050428,211470186,107147755,-83.19,-1.44,-0.42,-3.92,9.44,158.54,53.54,1415004290,1498332865,20204.02,19494.72,59.49,84.41,36.85,41.22,0.25597,0.25847,3250,2790,3050,2790,2170,2380,2700,2900,3100,3450,3750,4000,3650
A000100,유한양행,12,19621101,0.776999,0.756345,1756.39,1908.2,2849.75,419911025,508117707,12.4,5.23,0.65,0.92,3.28,188452219,85606517,25207544,330.35,4.53,7.12,13.94,15.49,275.25,114.07,81292526,62119016,4199.11,5081.18,141.07,149.49,38.17,45.43,0.4933,0.40613,18386,19857,21275,24690,18596,19647,21013,22771,23290,23405,21733,26748,34531
A000110,한국스탠다드차타드은행,12,19560303,0.583517,0.398659,8464,8464,9805.84,28914095000,26134547000,0,-0.39,0.53,0.11,-6.33,3502858000,1930707000,1050340000,-10046.59,-8.26,-3.65,-195.25,,-312.1,-22333.06,,,289140.95,261345.47,,,-47.41,41.86,0.11332,0.12726,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645
A000120,CJ대한통운,12,19560702,1.177887,1.33374,2745,1857.6,5057.4,1422796659,1273656754,,7.85,0.27,0.11,6.66,993039880,113543058,60116194,140.71,-5.81,1.04,2.68,4.93,814.15,1031.36,247109675,153156749,14227.97,12736.57,60.23,51.55,10.84,11.43,0.61457,0.73655,16512,15197,16267,13148,10855,4953,5504,7216,7063,6360,4143,5275,5871
A000140,하이트진로홀딩스,12,19730919,1.263811,1.113087,4114.83,5946.83,5285.51,1948993347,1671457832,375,36.92,1.51,1.26,8.48,541872551,299156531,175843535,184.42,0.3,1.02,3.88,7.75,784.61,1889.9,579869297,458519534,19489.93,16714.58,51.67,53.59,48.88,55.21,0.24249,0.29934,52336,51161,50734,48010,54366,40587,38451,40694,47530,46996,47743,53404,46889
A000150,두산,12,19730629,0.383744,0.493455,4848.56,3452.64,9962.36,3334513093,3199288287,227.61,4.12,0.6,0.31,3.83,1710874637,523929885,203067767,1273.18,-0.74,3.9,15.77,8.12,-897.43,2218.58,1080165969,1046437025,33345.13,31992.88,70.19,79.57,27.64,30.62,0.36876,0.5237,20643,23458,20841,19952,18668,17581,17779,16989,18766,17482,17433,23112,24248
A000180,성창기업지주,12,19760602,0.883547,0.928449,240,209.1,613.04,268883488,273616184,,-1.7,0.63,0.25,13.68,155372313,22256984,4229696,-226.25,-38.64,-8.34,-31.42,1.74,-403.34,-236.4,12211000,133397637,2688.83,2736.16,21.82,58.65,2.7,14.33,0.70873,0.5728,641,616,622,570,426,561,414,575,579,511,504,552,625
A000200,대우중공업,12,19660318,0.925293,0.821151,3037.82,2859.13,-7748.53,14234711239,8981023180,512.26,0,-0.01,0,-2.54,5016825180,725414338,27200841,-39719.36,1.31,-34.22,-246.37,0.51,1924.96,-1980.15,4849702955,6905085384,142347.11,89810.23,104.63,149.11,12.89,14.46,0.47722,0.43219,11,11,11,10,10,10,10,10,125,60,45,,
A000210,대림산업,12,19760202,1.133716,1.136701,6628.35,2826.65,14988.13,3805396613,3990706458,240.07,3.13,0.46,0.17,2.04,3362970576,467081949,283604199,1872.74,1.94,4.8,15.61,14.1,1611.93,2214.27,1222588593,943435517,38053.97,39907.06,116.96,137.85,11.04,13.89,0.75009,0.86273,5310,5550,6020,4885,3980,4920,4750,6680,5910,5470,6700,9110,10300
A000220,유유제약,12,19751118,0.776495,0.693527,65.75,71.75,305.54,30284589,46347752,11.33,9.55,0.36,0.49,5.3,23002441,12335019,1836863,11.82,2.94,3.09,5.52,3.66,21.33,22.46,7370799,5511107,302.85,463.48,177.67,182.74,56.56,53.63,0.7152,0.60033,1481,1386,1470,2238,1643,3321,7727,7376,5875,4880,5360,6520,5080
A000230,일동홀딩스,12,19750628,1.977232,1.463347,228.17,168.79,580.49,136226701,175184705,,4.11,0.4,0.24,5.79,88575189,48040521,15586438,52.35,-28.49,3.36,15.49,12.05,-2.36,96.72,56941758,88143474,1362.27,1751.85,116.48,274.79,59.47,54.24,0.45757,0.56886,826,781,882,903,765,784,771,1012,1033,888,888,1033,993
A000240,한국타이어월드와이드,12,19681227,1.440499,1.17606,4631.02,3368.78,7893.83,1775366888,1894669924,,10.89,0.58,0.35,4.15,1277250427,394710945,126676731,408.99,1.26,2.23,5.58,5.97,1649.56,1423.89,455114646,417123674,17753.67,18946.7,77.97,78.71,28.48,30.9,0.81048,0.69604,2238,2590,2694,2209,2129,1981,1679,2010,2159,2382,2516,3021,2704
A000270,기아차,12,19730721,0.310962,0.362847,31911.27,28765.09,30972.13,4993190379,7681295368,,15.07,1.03,0.26,4.63,7930638422,1187880435,48846984,1357.45,-52.07,2.14,40.75,-12.58,4723.51,-4299.72,1885487818,2212633952,49931.9,76812.95,38.65,100.15,7.62,14.98,0.64687,1.25143,6400,7200,6750,6100,6100,7500,7100,7500,7900,7300,7820,10150,10900
